Drive 0.26905 pose: 0.8141872250446883, 0.784333997403236 orientation: 40.5
Drive 0.22738333333333335 pose: 0.9870908681893753, 0.9320076594593809 orientation: 40.5
Drive 0.15418513513513515 pose: 1.104334164752979, 1.03214289455442 orientation: 40.5
Drive 0.13268636363636363 pose: 1.205229667215845, 1.1183157944580855 orientation: 40.5
Drive 0.09969516129032258 pose: 1.2810384626024636, 1.1830626223860483 orientation: 40.5
Drive 0.07522977528089887 pose: 1.3382436325168088, 1.2319204531185464 orientation: 40.5
Drive 0.2012 pose: 1.491237312795535, 1.3625894004425794 orientation: 40.5
Drive 1.5441471637148618 pose: 2.7742121883515454, 0.5033071814361044 orientation: 326.1875
Drive -0.25 pose: 2.5664964171957916, 0.6424264051730506 orientation: 326.1875
Drive 0 pose: 2.5664964171957916, 0.6424264051730506 orientation: 168.4375
Drive 0.33155 pose: 2.241674679055282, 0.7088812088472642 orientation: 168.4375
Drive 0.24632272727272728 pose: 2.005725792948535, 0.7796131614292459 orientation: 163.3125
Drive 0.21135769230769233 pose: 1.803269395107189, 0.8403048500755496 orientation: 163.3125
Drive 0.16610882352941178 pose: 1.6528771869970307, 0.9108337448214343 orientation: 154.875
Drive 0.14405 pose: 1.5224566764066803, 0.971996584171421 orientation: 154.875
Drive 0.11338962264150944 pose: 1.4197955692872577, 1.0201411955811972 orientation: 154.875
Drive 0.08661756756756757 pose: 1.34137344232956, 1.0569185393508727 orientation: 154.875
Drive 0.06409504504504504 pose: 1.2833428383650596, 1.0841329436772889 orientation: 154.875
Drive 0.051944736842105266 pose: 1.2363129244363629, 1.1061883938303678 orientation: 154.875
Drive 0.15953333333333333 pose: 1.091874057449109, 1.1739253715300175 orientation: 154.875
Drive 1.9403468760241016 pose: 2.913022189943219, 0.5043243867564698 orientation: 339.8125
Drive -0.25 pose: 2.678380106741869, 0.5905977475982185 orientation: 339.8125
Drive 0 pose: 2.678380106741869, 0.5905977475982185 orientation: 146.9375
Drive 0.37619285714285716 pose: 2.4371972864957008, 0.8793050612974227 orientation: 129.875
Drive 0.4357166666666667 pose: 2.157852869132083, 1.2136936228525272 orientation: 129.875
Drive 0.33155 pose: 1.9629726687345135, 1.481923207337541 orientation: 126.0
Drive 0.24632272727272728 pose: 1.831531285861864, 1.6902451909100864 orientation: 122.25
Drive 0.1976214285714286 pose: 1.7458698094036944, 1.8683360117898238 orientation: 115.68749999999999
Drive 0.1579388888888889 pose: 1.6891087658136752, 2.0157228380465444 orientation: 111.0625
Drive 0.12109081632653061 pose: 1.645590407844875, 2.1287234500728736 orientation: 111.0625
Drive 0.08077839506172839 pose: 1.630177163435017, 2.2080177185007406 orientation: 101.0
Drive 0.06666904761904761 pose: 1.6174561094361155, 2.2734618679381646 orientation: 101.0
Drive 0.1782408163265306 pose: 1.60929288200652, 2.451515652853512 orientation: 92.625
Drive 2.457867507697874 pose: 3.0820428570843617, 0.4837452911737816 orientation: 306.8125
Drive -0.25 pose: 2.932243287898341, 0.6838954574781906 orientation: 306.8125
Drive 0 pose: 2.932243287898341, 0.6838954574781906 orientation: 151.875
Drive 0.51905 pose: 2.4320709011604054, 0.8226055365816098 orientation: 164.5
Drive 0.51905 pose: 1.9318985144224696, 0.9613156156850291 orientation: 164.5
Drive 0.2968277777777778 pose: 1.6458662283975611, 1.0406393889932801 orientation: 164.5
